ID,country,state,county,type,beds,population
74867AD200E41EDBA5D8B06B26F40052,US,AL,conecuh,ACUTE,4.585343,12649
74867AD200E41EDBA5D8B06B26F42052,US,AL,conecuh,ICU,0,12649
74867AD200E41EDBA5D8B06B26F44052,US,AL,coosa,ICU,0,10955
74867AD200E41EDBA5D8B06B26F46052,US,AL,covington,ACUTE,5.597164,37519
74867AD200E41EDBA5D8B06B26F48052,US,AL,covington,ICU,0.346491,37519
74867AD200E41EDBA5D8B06B26F4A052,US,AL,crenshaw,ACUTE,4.687725,13866
74867AD200E41EDBA5D8B06B26F4C052,US,AL,crenshaw,ICU,0,13866
74867AD200E41EDBA5D8B06B26F4E052,US,AL,crenshaw,PSYCHIATRIC,2.019328,13866
74867AD200E41EDBA5D8B06B26F50052,US,AL,cullman,ACUTE,1.774721,81703
74867AD200E41EDBA5D8B06B26F52052,US,AL,cullman,ICU,0.146873,81703
74867AD200E41EDBA5D8B06B26F54052,US,AL,cullman,PSYCHIATRIC,0.489578,81703
74867AD200E41EDBA5D8B06B26F56052,US,AL,dale,ACUTE,1.801875,49393
74867AD200E41EDBA5D8B06B26F58052,US,AL,dale,ICU,0.121475,49393
74867AD200E41EDBA5D8B06B26F5A052,US,AL,dallas,ACUTE,4.293952,40755
74867AD200E41EDBA5D8B06B26F5C052,US,AL,dallas,ICU,0.441664,40755
74867AD200E41EDBA5D8B06B26F5E052,US,AL,dekalb,ACUTE,1.882181,71194
74867AD200E41EDBA5D8B06B26F60052,US,AL,dekalb,ICU,0.168554,71194
74867AD200E41EDBA5D8B06B26F62052,US,AL,elmore,ACUTE,1.703935,80989
74867AD200E41EDBA5D8B06B26F64052,US,AL,elmore,ICU,0.061737,80989
74867AD200E41EDBA5D8B06B26F66052,US,AL,escambia,ACUTE,3.774488,37621
74867AD200E41EDBA5D8B06B26F68052,US,AL,escambia,ICU,0.372133,37621
74867AD200E41EDBA5D8B06B26F6A052,US,AL,etowah,ACUTE,6.079587,103132
74867AD200E41EDBA5D8B06B26F6C052,US,AL,etowah,ICU,0.542993,103132
74867AD200E41EDBA5D8B06B26F6E052,US,AL,etowah,OTHER,0.426638,103132
74867AD200E41EDBA5D8B06B26F70052,US,AL,etowah,PSYCHIATRIC,0.659349,103132
74867AD200E41EDBA5D8B06B26F72052,US,AL,fayette,ACUTE,3.662124,16657
74867AD200E41EDBA5D8B06B26F74052,US,AL,fayette,ICU,0.720418,16657
74867AD200E41EDBA5D8B06B26F76052,US,AL,franklin,ACUTE,3.173898,31507
74867AD200E41EDBA5D8B06B26F78052,US,AL,franklin,ICU,0.793474,31507
74867AD200E41EDBA5D8B06B26F7A052,US,AL,geneva,ACUTE,3.123589,26572
74867AD200E41EDBA5D8B06B26F7C052,US,AL,geneva,ICU,0.225802,26572
74867AD200E41EDBA5D8B06B26F7E052,US,AL,greene,ACUTE,2.343842,8533
74867AD200E41EDBA5D8B06B26F80052,US,AL,greene,ICU,0,8533
74867AD200E41EDBA5D8B06B26F82052,US,AL,hale,ACUTE,2.600867,14995
74867AD200E41EDBA5D8B06B26F84052,US,AL,hale,ICU,0,14995
74867AD200E41EDBA5D8B06B26F86052,US,AL,henry,ICU,0,17110
74867AD200E41EDBA5D8B06B26F88052,US,AL,houston,ACUTE,6.291543,104108
74867AD200E41EDBA5D8B06B26F8A052,US,AL,houston,ICU,0.633957,104108
74867AD200E41EDBA5D8B06B26F8C052,US,AL,houston,OTHER,0.854881,104108
74867AD200E41EDBA5D8B06B26F8E052,US,AL,houston,PSYCHIATRIC,0.365006,104108
74867AD200E41EDBA5D8B06B26F90052,US,AL,jackson,ACUTE,3.248863,52326
74867AD200E41EDBA5D8B06B26F92052,US,AL,jackson,ICU,0.19111,52326
74867AD200E41EDBA5D8B06B26F94052,US,AL,jefferson,ACUTE,6.672126,659460
74867AD200E41EDBA5D8B06B26F96052,US,AL,jefferson,ICU,0.714221,659460
74867AD200E41EDBA5D8B06B26F98052,US,AL,jefferson,OTHER,1.129712,659460
74867AD200E41EDBA5D8B06B26F9A052,US,AL,jefferson,PSYCHIATRIC,0.142541,659460
74867AD200E41EDBA5D8B06B26F9C052,US,AL,lamar,ICU,0,14021
74867AD200E41EDBA5D8B06B26F9E052,US,AL,lauderdale,ACUTE,3.866508,92590
74867AD200E41EDBA5D8B06B26FA0052,US,AL,lauderdale,ICU,0.518415,92590
74867AD200E41EDBA5D8B06B26FA2052,US,AL,lawrence,ACUTE,2.944004,33288
74867AD200E41EDBA5D8B06B26FA4052,US,AL,lawrence,ICU,0.180245,33288
74867AD200E41EDBA5D8B06B26FA6052,US,AL,lee,ACUTE,2.005147,156597
74867AD200E41EDBA5D8B06B26FA8052,US,AL,lee,ICU,0.178803,156597
